en,ta
link system of memorization,இணைப்பு முறை மனப்பாடம்
sensationalism,எழுச்சியூட்டும் பாணி
caption,தலைப்பு
unreasonable delay,நியாயமற்ற தாமதம்
vindicative,தண்டனை நோக்கல்
retract,மக்களி
loans,கடன்கள்
international code of media ethics,சர்வதேச ஊடக ஒழுக்கவியல் குறியீடு
resignation,ராஜினாமா செய்தல்
negative (a),எதிர்
homosexual neurosis,தற்பாற்காம நரம்புநோய்
exclusively,பிரத்தியேக
resource teacher,வளவாசிரியர்
manual worker,உடற்றொழிலாளி
board of education,கல்விச் சபை
ambidexterity,இருகைத்திறம்
completed work chart,பூரணப்படுத்தப்பட்ட பணி அட்டவணை
creation of community,சனசமூகத்தின் ஆக்கத்திறன்
quaere,விசாரணை
abstract thinking,கருத்து நிலைச்சிந்தனை
delineation,உரு மாதிரி
trade union,தொழிற் சங்கம்
policy implementation,கொள்கை அமுலாக்கம்
quasi,மருவிய
watch committee,மேற்பார்வைக் குழு
incorporation of departmental accounts,திணைக்களக் கணக்குகளை இணைத்தல்
formal behaviour,ஒப்பாசார நடத்தை
Kultur,நாகரிகம்
delay,தாமதம்
conflict is news,மோதலே செய்தி
holidays,விடுமுறைகள்
controlling literature,கட்டுப்படுத்தும் இலக்கியம்
spot television,களநிலைத் தொலைக்காட்சி
sales of capital goods,ஆக்கப் பொருட் சொத்துக்களின் விற்பனை
item discrimination,விடயப் பாகுபாடு
co-ordination,இயைபாக்கல்
accelerated motion,துரிதப்படுத்தப்பட்ட சலனம்
thief,திருடன்
backwardness,பின்தங்கியநிலை
class conflict,வகுப்பு முரண்பாடு
arson,தீ வைத்தல்
priority,முதன்மை
university grants commission,பல்கலைக்கழக மானியங்கள் ஆணைக்குழு
trade creditor,வியாபாரக் கடன்கொடுத்தோர்
manor,பண்ணை மாளிகை
redressible,பரிகாரம் செய்யக்கூடிய
command,ஏவல்
filial regression,எச்சம் பின்னுறுதல்
express warranty,வெளிப்படையான கட்டுறுத்து
stock accounts,கையிருப்புக் கணக்கு
occupational education,தொழிற் கல்வி
nonjoinder,சேர்ப்பின்மை
strict liability,கண்டிப்பான பொறுப்பு
occupational extension education,தொழில் விரிவாக்கக் கல்வி
vertigo,கிறுக்கம்
juvenile,பால்ய
pronounce,விளம்பு
chemist,இரசாயனவியலாளர்
formal education,முறைசார் கல்வி
paysheet,வேதனப் பட்டியல்
topographic,பிரதேசத்திற்குரிய
after image memory,நின்ற விம்பம் நினைவகம்
warrant of attorney,அற்றோணி ஆணை
audio (a),செவிப்புல
lifestyle,வாழ்க்கைப்பாங்கு
outstation,வெளிப்பிரதேசம்
null and void,வெற்றும் வெறிதுமான (சட்டவலுவற்றது)
privileged debts,சிறப்புரிமைக் கடன்
learning unit,கற்றல் அலகு
institutionalists in journalism,பத்திரிகைத்தொழிலில் வாழ்வியல்வாத திசையமைவு
subsidence,தணிதல்
student teacher,மாணவர் ஆசிரியர்
calendar year,பஞ்சாங்க ஆண்டு
sketch writer,திட்ட உருவரை  எழுத்தாளர்
selectivity,தேர்ந்தெடுத்தல்
obligation,கடப்பாடு
accountability,வகைகூறும் பொறுப்பு
descriptive decision theory,விவரணத் தீர்மானக் கொள்கை
antecedent liability,முற்பட்ட கடப்பாடு
summary jurisdiction,சுறுக்க வழக்கு நியாயாதிக்கம்
legislation,சட்டவாக்கம்
economy and efficiency,சிக்கனமும் திறனும்
pacuniary damages,நிதி நட்டம்
contractor,ஒப்பந்தக்காரன்
anticipation,எதிர்பார்ப்பு
pluralistic ownership,பல்வகைமைசார் உடைமை
necessary representation,தேவையான பிரிதிநிதித்துவம்
Buddhist theosophical society,பௌத்த பிரம்ம ஞான சபை
late heirs,தாமதமான மரபுரிமையாளர்கள்
surrender of fugitive,தப்பியோடியவர் சரணடைதல்
applied research,பிரயோக ஆய்வு
university extension lectures,பல்கலைக்கழக விரிவான விரிவுரைகள்
fade,தேய்வு
propose,முன்மொழி
prefer a charge,குற்றத்தை முன்வைத்தல்
land acquisition,காணி கொள்ளுதல்
unpleasantness,மகிழ்வின்மை
data processing,தரவுச் செயன்முறை
cultural imperialism,கலாசார ஏகாதிபத்தியம்
television broadcast translator service,தொலைக்காட்சி ஒலிபரப்பு மொழிபெயர்ப்புச் சேவை
co-education,இருபாலாரிணைந்த கல்வி
enjoining order,கட்டாணை
periodial tickets,சலுகைப் பருவப் பயணச் சீட்டுகள்
scatter diagram,சிதறல் வரிப்படம்
convent,கன்னியர் மடம்
interactive audience stage,ஊடாடு நேயர் கட்டம்
reversal,புறமாற்றல்
contract,ஒப்பந்தம்
maritime climate,கடல்சார் காலநிலை
clerical staff,எழுதுநர் பதவியணி
servitudes,சேவகம்
travelling expenses,பயணச் செலவுகள்
technical,தொழில்நுட்ப
shape of audience,நேயரின் உருவம்
dissolution,கலைத்தல்
discretion,தற்றுணிபு
probationary,தகுதிகாண்
periodical summary,காலக்கிரம இதழ் சாராம்சம்
unserviceable articles,உபயோகிக்கத்தகாத பொருட்கள்
human geography,மானிடப் புவியியல்
citizens' journalism,பிரஜைகள் பத்திரிகைத்தொழில்
vagrancy,அலைந்துதிரிதல்
placaat,பிளக்காட்டு
administration,பாலனம்
right of prospect,காட்சி உரிமை
trained,பயிற்றப்பட்ட
intention,நோக்கம்
encroach,அத்துமீறு
valuation roll,பெறுமதி மதிப்பீட்டு அறிக்கை
routine,நாளாந்தமுறை
suspension,நிறுத்தம்
bonus,மிகையூதியம்
modesty,அடக்கம்
despatch,அனுப்புதல்
oral presentation and discussion,வாய்மொழி சமர்ப்பணமும் கலந்துரையாடலும்
measurement units,அளவீட்டு அலகுகள்
disruption,தலையீடு
legal representative,சட்டப் பிரதிநிதி
reserve,ஒதுக்கீடு
counsellor,ஆலோசகர்
core curriculum development,விருத்திக்கலைத்திட்டம்
compassionate pension,இரக்க ஒய்வூதியம்
duly authenticated,தக்கவாறு மெய்யுறுதிப்படுத்தப்பட்ட
legal jurisdiction,சட்ட நியாயாதிக்கம்
acquisition proceedings,கொள்ளல் நடவடிக்கைகள்
flexible,நெகிழ்வான
progress chart,முன்னேற்ற அட்டவணை
supreme legislature,உயர் சட்ட சபை
acting area,நடித்தல் பகுதி
local school district,உள்ளூர் பாடசாலை மாவட்டம்
sub-culture,உப-கலாசாரம்
entertainment   industry,மகிழ்வளிப்பு கைத்தொழில்
verbatim,சொல்லுக்குச் சொல்லாக
discount a bill,உண்டியற் கழிவுகொடு
responsibility,பொறுப்பு
regular procedure,படிமுறை நடவடிக்கை
competitive examination,போட்டிப் பரீட்சை
capitalized expenditure,மூலதனமாக்கிய செலவினம்
department of state accounts,அரச
opinionist,கருத்தாடாளர்
predicament,இக்கட்டு நிலை
malitia supplet aestatem,வயதுக்குறைவை வன்மம் நிரப்பும்
incoming officer,உள்வரும் உத்தியோகத்தர்
dream factory,கனவுத் தொழிற்சாலை
malicious institution,தீயநோக்குடன் வழக்குத் தொடர்தல்
immediate superior,நெருங்கிய தலைவர்
mental measurement,உள அளவீடு
branded,குறிசுடப்பட்ட
systematic development and alienation,முறையான அபிவிருத்தி மற்றும் கையளித்தல்
privilege,தனிச்சலுகை
fandom,அடிமையானோர்
common possession,கூட்டுடைமை
ratione privilegii,சிறப்புரிமை காரணமாக
ethical tourism,ஒழுங்குநெறிச் சுற்றுலா
sociometric method,சமூக மான முறை
arbitration,நடுத் தீர்ப்பு
gala dress,கொண்டாட்ட உடை
obsessive compulsive disorder,மனமுட்டு வல்லந்தச் சீர்குலைவு
promiscuous,மிகைக்கலப்பான
state-control,அரசக் கட்டுபாடு
decentralization,பன்முகப்படுத்தல்
utilise,பயன்படுத்து
In service training,சேவைக்காலப் பயிற்சி
centralization,மத்தியமயமாக்கல்
bid,பணி
Sri Lanka Press Council,இலங்கைப் பத்திரிகைப் பேரவை
new electronic media,புதிய மின்னியல் ஊடகம்
cultural domination,கலாசார ஆதிக்கம்
public sector,அரச துறை
relief map,தரைத் தோற்றப்படம்
blameworthy,பழிக்கத்தக்க
stolen property,களவாடப்பட்ட சொத்து
despair (v),நம்பிக்கை இழ
installment,தவணை
patriarchal,தந்தைமைய
intermediate grade,இடைநிலை தரம்
subscription,சந்தாப்பணம்
fiscal year,நிதியாண்டு
broadcast code,ஒலிபரப்பு குறியீடு
investigation,நுண்ணாய்வு
order and good governance peace,அமைதி
absolute conveyance,முழுமையான உரித்துமாற்றம்
educational politics,கல்வி அரசியல்
double entry,இரட்டைப் பதிவு
admirer,ஆர்வலர்
negative correlation,எதிர் இணைபு
liquid funds,எளிதெய்து நிதிகள்
full amount,முழுத் தொகை
no - pay leave,சம்பளமற்ற லீவு
enlist,படைக்குஆள்சேர்
escrow,நிபந்தனைவைப்பு
defence,காப்பளித்தல்
computerized systems,கணினிமய முறைமைகள்
achievement age,அடைவு வயது
government stores catalogue,அரசாங்கக் களஞ்சியப் பெயர்ப்பட்டியல்
cross talk,குறுக்குப் பேச்சு
communication journal,தொடர்பாடல் இதழ்
accustom,பழக்கு
writ of Prohibition,தடையீட்டெழுத்தாணை
casual forecasting method,முறைசாரா எதிர்வுகூறல் முறை
savage,அநாகரிகன்
labelling word,அடையாளங்காட்டும் சொல்
assessor,மதிப்பீட்டாளர்
assessee,தீர்வைசெலுத்துநர்
extraordinary power,விசேட அதிகாரம்
address,விளித்துரை
unavoidable misfortune,தவிர்க்க முடியாத அணர்த்தம்
note file,குறிப்புக் கோப்பு
conceptual framework,கருத்துநிலைச் சட்டகம்
active therapy,செயல்நிலை மருத்துவம்
acceptability,ஏற்புடைமை
original,அசல்
maze,சிக்கல்வழி
series of days,நாட்களின் தொடர்
quietus,குழப்பமற்ற
massing,வெகுசனமயமாக்கல்
hereditary (a),பரம்பரையாக
jural authority,சட்ட அதிகாரம்
reimburse,மீளளி
amending enactment,திருத்தும் சட்டவாக்கம்
life-holder,ஆயுட்காலக்கொளி
massacre,படுகொலை
contractual services,ஒப்பந்தச் சேவைகள்
modification,திருத்தமைவு
news summary lead,செய்தி சாராம்ச தலைப்புச்செய்தி
affective educational goals,தாக்குதிறனுடை கல்வி இலக்குகள்
race,இனம்
mental shock,உள அதிர்ச்சி
labour relations,தொழில் உறவுகள்
gravity,புவியீர்ப்பு விசை
endogamy,அகமணம்
specific bequset,மரண சாசனத்தின் மூலம் தெளிவாக அளிக்கப்பட்ட சொத்து
operational level,செயற்பாட்டு மட்டம்
vary,வேறாகு
positive,சாதக
notary,நொத்தாரிசு
third party risk,பிறரபாய காப்பு
professional course,தொழில்வாண்மைக் கற்கைநெறி
blanks,வெற்றிடங்கள்
companies clauses,கம்பெனி வாசகங்கள்
establishments division,தாபனப்பகுதி
dysfunctional conflict,தொழிற்படாமுரண்பாடு
explosion,வெடிப்பு
exceptional remedy,விதிவிலக்கான பரிகாரம்
intergroup (a),குழுக்களிடை
solidary obligation,கூட்டொருமைப்பாடுடைய
specific or general authority,குறிப்பான அல்லது பொதுவான அதிகாரம்
national association,தேசிய சங்கம்
electronic referendum,மின்னியல் கருத்துக்கணிப்பு
retardation,மந்தம்
dactylology,கைச் சைகை மொழி
camera stylo,கமரா கம்பிமுனை
multi-ethnic communications environment,பல்-இனத்துவ தொடர்பாடல்கள் சூழல்
award letter,அளிப்புக் கடிதம்
loan agreement,கடன் உடன்படிக்கை
synergy,துணைமை
Committee of supply,விநியோகக் குழு
classical narrative theory,பாரம்பரிய விவரணக் கோட்பாடு
life insurance fund,ஆயுட் காப்புறுதி நிதி
analog channel,ஒத்திசை அலைவரிசை
agreement bond,உடன்படிக்கைப் பிணைமுறி
social institution,சமூக நிறுவகம்
performance of skills,ஆற்றுகை திறன்கள்
prejudicial act,பாதிக்கும் செயல்கள்
double payment,இரட்டைக் கொடுப்பனவு
local effort,உள்ளூர் முயற்சி
removal order,அகற்றற் கட்டளை
overlearning,மிகைக் கற்றல்
experimentalism,பரிசோதனை வாதம்
explanation,வியாக்கியானம்
temporary status,தற்காலிக தகுநிலை
oracle,இறைவாக்கு
running time,நிகழ்ச்சித் தொடர் நேரம்
merciless (a),இரக்கமற்ற
written promise,எழுத்திலான வாக்குறுதி
restrospective legislation,கடந்த காலத்தை அளாவிய சட்ட உருவாக்கம்
information science,தகவல் விஞ்ஞானம்
avoid,தவிர்
absurdities test,அபத்த சோதனைகள்
matrilineal society,பெண்வழிச் சமூகம்
state-control support,அரசக் கட்டுபாட்டுடை ஆதரவு
split half reliability,பிளவுற்ற அரை நம்பகம்
introspective,உட்புறக்காட்சியிலான
personnel management,ஆளணி முகாமை
diffusion,பரவல்
analogy,ஒப்பு
causal,அமய
wave,அலை
confirmation,உறுதிசெய்தல்
highest capability,அதியுயர் ஆற்றல்
non-acceptance,ஏற்றுக்கொள்ளாமை
legally entitled,சட்டப்படி உரித்துடைய
power of intelligence,அறிவாற்றல் திறன்
examination system,பரீட்சை முறைமை
international business,சர்வதேச வியாபாரம்
technology of mass communication,வெகுசனத் தொடர்பாடல் தொழில்நுட்பம்
communitarian,சமுதாய உறுப்பினர்
token sum,அடையாளத் தொகை
folkways,நாட்டார் போக்குகள்
written statement,எழுத்திலான அறிக்கை
promotional prospects,பதவி உயர்வு வாய்ப்புக்கள்
national policy,தேசியக் கொள்கை
information,தகவல்
deferred liability,பிற்போடப்பட்ட பொறுப்பு
statitics,புள்ளிவிபரவியல்
accurate,துல்லிய
geological institute,புவிச்சரிதவியல் திணைக்களம்
two-tier,ஈரடுக்கு
correlation ratio,இடைத்தொடர்பு விகிதம்
matricide,தாய்க்கொலை
conservation of quantity,அளவுக்காப்பு
editorial,ஆசிரிய பீடம்
campus (university),வளாகம்
genealogy,பரம்பரையியல்
awareness,விழிப்புணர்ச்சி தெரிநிலை
kindergarten,பாலர் பள்ளி
verification,உறுதிப்படுத்துகை
evade,தட்டிக்கழி
res nullius,உரியார் இலாப் பொருள்
authoritarian communication concept,எதேச்சாதிகார தொடர்பாடல் எண்ணக்கரு
national press,தேசிய பத்திரிகை
annualy recurrent services,வருடாந்த மீள்வரு சேவைகள்
progressive rent,ஏறும் வாடகை
intensity,செறிவு
incontrovertible (a),மறுத்தற்கரிய
dropout,இடை விலகல்
discovery,கண்டுபிடிப்பு
account code,கணக்கு விதித்தொகுப்பு
unincorporated company,கூட்டிணைக்கப்படாத நிறுவனம்
issued,வழங்கப்பட்ட
investigative journalism,அலசி ஆராய்கின்ற பத்திரிகைத்தொழில்
bank notes,வங்கி நாணயம்
illuminated manuscript,பிரகாசமாக்கப்பட்ட கையெழுத்துப்பிரதி
bailable,பிணை வழங்கக்கூடிய
civil officer,சிவில் உத்தியோகத்தர்
territorial intergrity,ஆள்புலக் கட்டுறுதி .
end title,இறுதித் தலைப்பு
compensatory leave,ஈடுசெய் விடுப்பு
case,விடயம்
shock,அதிர்ச்சி
vi et armis,ஆயுத பலத்துடன்
authorized share capital,அதிகாரமளிக்கப்பட்ட பங்கு மூலதனம்
neuroticism,நரம்புநோய்க்கு ஆட்படுந்தன்மை
damage feasant,சேதச்செயல்
widow and orphans pension scheme,விதவை அநாதைகள் ஓய்வூதிய திட்டம்
contract of guarantee,பிணை ஒப்பந்தம்
abridged notation,சுருக்கக் குறிப்பீடு
standardization,தர நிர்ணயம்
anticipation,எதிர்பார்த்தல்
determining factor,துணியும் காரணி
social consciousness,சமூக விழிப்புணர்வுநிலை
conformism,உருவொத்த படிவமாக்குதல்
linkage,இணைப்பு
power of appointment,நியமனம் செய்யும் அதிகாரம்
scheme of studies,கற்கைத் திட்டம்
statutory rules,சட்டமுறை விதிகள்
barter,பண்டமாற்று
eligibility,தகவுத் திறன்
manufacture,உற்பத்தி செய்தல்
vested ownership,உடைமை சொத்துவம்
production format,தயாரிப்பு வடிவமைப்பு
figments of imagination,கற்பனையின் கட்டுக் கதைகள்
dedication,அர்ப்பணம்
trade school,வர்த்தகப் பள்ளி
private assets,தனிநபர் சொத்து
promise,வாக்குறுதி
sound camera,ஒலி கமெரா
level,மட்டம்
multiplex,பல்வகைத்தன்மையுள்ள
practical,நடைமுறை
assessee,வரிமதிப்பிடப்பெற்றவர்
Lyc'e,இடைப்பள்ளி (பிரான்சில்)
power house,மின்னகம்
metropolitan area,நகர்ப்புறப் பிதேசங்கள்
absolutism,முழுமை வாதம்
compulsory acquisition,கட்டாயக் கொள்ளுதல்
departure,புறப்பாடு
auditor general,கணக்காளர் அதிபதி
conventional media,மரபு வழி ஊடகம்
search,தேடு
approving officer,அங்கீகரிக்கும் உத்தியோகத்தர்
commercial treaty,வர்த்தக உடன்படிக்கை
writ,ஆணை
encroached lands,அத்துமீறிய காணிகள்
additional remedy,மேலதிகப் பரிகாரம்
structured programming,கட்டமைப்பிலான  நிகழ்ச்சிச்செயலாக்கம்
nonsuit,யூரரைவிடுத்துத் தீர்ப்பு
melody,தனிச்சுர இசை
moral character,ஒழுக்கப் பண்பு
operational construction,செயற்பாட்டுக் கட்டுமானம்
lapse,காலக்கழிவு
valuation,மதிப்பீடு
semiotic trend,குறியீட்டியல் போக்கு
affective objectives,தாக்குதிறனுடை குறிக்கோள்கள்
auditor,கணக்காய்வாளர்
assisted,உதவியளிக்கப்பட்ட
minutes on pensions,ஓய்வூதிய விளக்கப் பிரமாணம்
social,சமூக
special direction,விஷேட கட்டளை
paradox,முரணுரை
livery,ஆதனவொப்படைப்பாணை
review,மீள் நோக்கு
sociometry,சமூக மானம்
westernization,மேலைத்தேயமயமாக்கம்
strict and scrupulous accuracy,கண்டிப்பான மற்றும் நுட்பமான திருத்தமாயித்தல்
suspended sentence,இடைநிறுத்திய தண்டனைத் தீர்ப்பு
mischief,"சொத்தழிப்பு,குறும்பு"
auto suggestion,தன்னியக்கக் மதிப்புரைரை
owe,கடன்படுதல்
depreciation,தேய்மானம்
government local,உள்ளூராட்சி
mental image,மனத்தோற்றம்
cheerless,இன்பமற்ற
pro tracted detention,நீடித்த தாமதம்
re-recording,மீள்-ஒலிப்பதிவு
cultural memory,கலாசார நினைவாற்றல்
polygamous,பல்தாரமுள்ள
wall chart,சுவர் அட்டவணை
noise protection,இரைச்சல் பாதுகாப்பு
Beyond the seas,கடலுக்கு அப்பால்
indirect channels,மறைமுக அலைவரிசைகள்
work limit method,வேலை வரையறை முறை
execution proceedings,நிறைவேற்று நடவடிக்கைகள்
apt,பொருத்தமான
major escalations in cost,பாரிய ஏற்ற-இறக்கச் செலவுகள்
applicant,வேண்டுநர்
ownership,உடைமை
order relating to losses,இழப்பு தொடர்பான கட்டளைகள்
interest,ஆர்வம்
lyric,உணர்ச்சிப்பாடல்
schedule,அட்டவணையிடு
patron,காப்பாளர்
terms of reference,விசாரணை நியதிகள்
inferential (a),அனுமான
crime culture,குற்றக் கலாசாரம்
new corporate ethics,புதிய கூட்டு ஒழுக்கவியல்
declaratory,விளம்பும்
topographical final plan,இடவிளக்க இறுதிப்படங்கள்
land subdivision,காணி உப-பிரிவு
compelling presumption,கட்டாயப்படுத்தப்படும் முன் ஊகம்
urge,உந்துவி
maternity and child care,மகப்பேற்று
transfer of ownership,உடைமை மாற்றல்
technological advocacy,தொழில்நுட்ப பரிந்து பேசுதல்
eclipse,கிரகணம்
announcer,அறிவிப்பாளர்
commital,ஒப்படைத்தல்
pick-lock,கள்ளத்திறவுகோல்
sensual,புலனின்ப
adman,விளம்பரதாரர்
mental deterioration,உளச் சீர்கேடு
pavement hawker,நடைபாதை வியாபாரி
artisan,கைவினைஞன்
bias of communication,பாரபட்சத் தொடர்பாடல்
paulian action,போலியன் வழக்கு
sorcery,மாந்திரீகம்
dower,சீதனம்
literacy,எழுத்தறிவு
leaflet,துண்டுப்பிரசுரம்
backstage communication,மறைமுகமான தொடர்பாடல்
late surrender,பிந்திய ஒப்படைப்பு
seduce,ஏய்த்துவஞ்சித்தல்
challenge cup,சவால் கிண்ணம்
trade description,வியாபார விபரம்
epitome of title,உறுதியின் மாதிரிக் கூறு
analyse,நுணுகி ஆராய்தல்
reward,சன்மானம் பெறல்
transfer of possession,உரித்து மாற்றம்
life adjustment education,வாழ்க்கைச் சீராக்கற் கல்வி
statement,விவர அறிக்கை
stamp ordinance,முத்திரைக் கட்டளைகள் சட்டம்
love need,அன்புத் தேவை
right to privacy,இரகசியத்தன்மைக்கான உரிமை
mentally defective (a),உளக்குறைபாடுள்ள
partly secured creditor,பகுதியளவில் காப்புடை கடன்கொடுநர்
free,சுயாதீன
operative clause,செயற்பாட்டு வாசகம்
inconsistency,ஒவ்வாமை
associate degree,துணை பட்டம்
secession,பிரிதல்
experimental,பரீட்சிக்கத்தக்க
anal eroticism,குதவழிக்காமக்கிளர்ச்சி
lease bond,குத்தகை முறி
trade custom,வியாபார வழக்கம்
perish,அழிந்துபோ
leadership,தலைமை
middleman,இடைத் தரகர்
intangible (a),புலப்படாத
metabolism,அனுசேபம்
pilot,வழிகாட்டி
remote control,தொலைவு கட்டுப்பாடு
disqualification mark,தகைமை நீக்கற் குறி
executive,நிறைவேற்றுநர்
neuralgia,நரம்பு வலி
release on bail,பினையில் விடுதலை செய்தல்
inanimate (a),சடப் பொருளான
intellectual climate,நுண்ணறிவுச் சூழல்
subpoena duces tecum,தண்ட ஆணை
brain,மூளை
momentum,உந்தம்
orphanage,அனாதை இல்லம்
valid delivery,செல்லுபடியான ஒப்படைப்பு
lands proposal for leasing,குத்தகைக்குக்கொடுக்க உத்தேசிக்கப்பட்ட காணிகள்
period of obligatory Service,கட்டாய சேவைக் காலம்
enforcing authority,வலியுறுத்தும் அதிகாரி
treasury representative,திறைசேரிப் பிரதிநிதி
covert response,இரகசியமான பதிற்குறி
international union of advertisers,சர்வதேச விளம்பரதாரர் ஒன்றியம்
obtain,பெற்றுக் கொள்ளல்
tapping telephone,தொலைபேசி ஒட்டுக்கேள்
digest of cases,வழக்குத் தீர்ப்புச் சுருக்கம்
character,பண்பு
scurrilous pamphlet,ஆபாசமான துண்டுப் பிரசுரம் .
inspiration,உள்உயிர்ப்பூட்டுதல்
think-aloud,உரத்த சிந்தனை
diverting order,விட்டுநீக்கும் கட்டளை
industrialized techniques,தொழில்மயமாக்கப்பட்ட நுட்பங்கள்
person of unsound mind,திடமற்ற நபர்
habit formation,பழக்க உருவாக்கம்
numerical rating,எண் மதிப்பீடு
civil budget estimate,குடிமுறை வரவு-செலவுத் திட்ட மதிப்பீடு
article,பொருள்
historical,வரலாற்று
film editor,திரைப்படத் தொகுப்பாளர்
distinguishing,தனிப்பட்ட
appointed member,நியமிக்கப்பட்ட உறுப்பினர்
time sense,காலவுணர்வு
coexistence,இணைவாழ்வு
global family,பூகோளக் குடும்பம்
abstract of title,உரித்து வரலாற்றுத் தொகுப்பு
anesthesia,உணர்வு இழப்பு
hardware,வன்பொருள்
appertain,சேர்ந்த
basic procedure,அடிப்படைச் செயல்முறை
strategy of cultural revalorization,கலாசார புரட்சிகர உத்தி
seditious words,இராச துரோக சொற்கள்
refund,மீளளிப்பு
endangered,அருகிவரும்
bills of quantities,தொகைகளின் விலை விவரப்பட்டியல்
allowance,உதவிப்படி
equation,சமன்பாடு
heterosexual,பரகாமம்
document,ஆவணம்
estoppel of record,வழக்குத்தீர்ப்பு மூல முரண்வாதத்தடை
clapper board,கை தட்டி ஆதரிப்பவர் சபை
genetic structuralism,பரம்பரையலகு கட்டுக்கோப்புவாதம்
moral education,அறநெறிக் கல்வி
contravention,மீறுகை
power of arrest,கைது செய்யும் அதிகாரம்
reforms,சீர்திருத்தங்கள்
wrongful seizure,முறையற்ற விதத்தில் கைப்பற்றுதல்
mistaken identity,தவராக அடையாளம் காணல்
xenoglossia,உள ஆய்வியல் வகையில் கற்கப்படா மொழியறிவு காட்டும் நிலை
camouflage,உருமறைப்புச் சாதனம்
state-control council,அரசக் கட்டுபாட்டுச் சபை
sensory,உணர்வுசார்
earth orbit,புவிச் சுற்றுப்பாதை
debut,அரங்கேற்றம்
malicious faleshood,தீயநோக்குடைய அசத்தியம்
bill,மசோதா
informal communication,முறைசாராத் தொடர்பாடல்
calumniation,அபவாதம்
allow,அனுமதி
plot of action,செயற்பாட்டின் நிகழ்வுக்கோப்பு
board of management,முகாமைத்துவச் சபை
middle manager resistance,இடைநிலை முகாமையாளர் தடுப்பாற்றல்
child growth,பிள்ளை வளர்ச்சி
creative execution style,ஆக்கியல் நிறைவேற்றல் பாங்கு
super media,மிகச்சிறந்த ஊடகம்
job growth,தொழில் வளர்ச்சி
asylum,புகலிடம்
facilitator,வழிநடத்துநர்
tail-male,பாரம்பரிய ஆண்கள்
amateur announcer,விழைஞர் அறிவிப்பாளர்
financial operation,நிதி நடவடிக்கை
transit period,இடமாற்ற இடைக்காலம்
semi documentary,அரை-ஆவணச்சித்திரம்
verisimilitude,மேலீடான மெய்ம்மைத் தோற்றம்
doubtful debt,ஐயக் கடன்
spurt,பீறித்தெறித்தல்
ideological effects,கருத்தியல்ரீதியான விளைவுகள்
tender procedure,கேள்விப் பத்திர நடைமுறை
format,அமைப்பு
public opinion,பொதுசன அபிப்பிராயம்
board of directors,பணிப்பாளர்கள் குழுமம்
undisclosed,வெளிப்படுத்தப்படா
science programmes,விஞ்ஞான நிகழ்ச்சிகள்
emigrant,குடியகன்றோன்
direct taxation,நேர்வரியீடு
charitable endowment,அறக்கட்டளை
cable system operator,கேபிள் முறைமை இயக்குபவர்
nervous disorders,நரம்புசார் பிறழ்வுகள்
progressive,முன்னேற்ற
rectify,சீராக்கு
holistic approach,முழுமைநிலை அணுகுமுறை
critical thinking,விமர்சன சிந்திப்பு
valid,செல்லுபடியான
equal opportunities,சம வாய்ப்புக்கள்
successor,பின்னுரிமையாளர்
obnoxious,தீங்கிழைக்கும்
direct mail advertisement,நேரடி அஞ்சல் விளம்பரஞ்செய்தல்
disposal of collection,சேகரிப்புகளைத் தீர்வை செய்தல்
statutory requirement,நியதிச்சட்டத் தேவைப்பாடுகள்
vendor's lien,விற்பனையாளரின் அர்ப்பணிப்பு உரிமை
total audience,முழுமையான நேயர்
depreciation fund,தேய்வு நிதி
talk show,உரை நிகழ்ச்சி
cheap edition,மலிவுப் பதிப்பு
visual media,கட்புல ஊடகம்
state,நகரவரசு
court of law,சட்டமன்று
domain,ஆட்சிப்புலம்
sectarian,சமயக்குழுப் பிடிப்புடையோர்
gazette,வர்த்தமானி
magnetooptical disk,காந்தஒளியியல் வட்டு
erudition,வித்துவப்புலமை
covering letter,முகவுரைக் கடிதம்
prior regitration,முற்பதிவு
lease rental,வாடகை குத்தகை
government promisory note,அரசுக் கடனுறுதிச் சீட்டு
auditory hallucination,கேட்டல் பிரமை
bigot,கொள்கை வெறியர்
legal cost,சட்ட வழக்குச்செலவு
native tongue,சுதேச மொழி
antagonism,எதிர்ப்பு
deonthology,கடமை இயல்
trivializing nature of mass media,வெகுசன ஊடகத்தின் அற்பமான தன்மை
normal procedure,வழமையான நடைமுறை
wrongful intention,தவறான நோக்கம்
full-pay study leave,முழுச் சம்பளப் படிப்பு லீவு
projector,எறிபடை
public purposes,பொதுப் பணிகள்
crime,குற்றம்
petition of right,உரிமை மனு
reconversion,மீள்மாற்றுகை
competency,சட்டத் தகவுடைமை
item analysis,விடயப் பகுப்பாய்வு
misfeasance,சட்டப்பிறழ் செயல்
independent national radio,சுயாதீன தேசிய வானொலி
pithy saying,சுருக்கமும் பொருட்செறிவுமுள்ள வாசகம்
standard lens,செந்தர வில்லை
destruction,அழிவு
personal bond,ஆட்பிணை
subsidies,உதவித் தொகை
puberty,பூப்பு
receipt order,பற்றுச்சீட்டுக் கட்டளை
production house,தயாரிப்பு மையம்
beamed program,கற்றை நிகழ்ச்சி
repulsion,தள்ளுகை
uniform,சீருடை
measure of damages,சேத அளவு
mancipable,வில்தகு
descriptive narration,விவரண
senior deputy,திணைக்கள தலைவர்
critical processes,திறனாய்வுசார்ந்த படிமுறைகள்
higher learning,உயர்கல்வி
